type,parameters,,,,,
3,15,0,0,0,0,
3,16,0,0,0,0,
3,17,0,0,0,0,
3,18,0,0,0,0,
3,19,0,0,0,15,
3,20,0,0,0,30,
3,21,0,0,0,45,
3,22,0,0,0,60,
3,23,0,0,0,75,
2,10,,,,,
4,,,,,,
3,0,0,0,0,0,
3,1,0,0,0,0,
3,2,0,0,0,0,
3,3,0,0,0,0,
3,4,0,0,0,0,
3,5,0,0,0,0,
3,6,0,0,0,0,
3,7,0,0,0,0,
3,8,0,0,15,0,
3,9,0,0,30,0,
3,10,0,0,45,0,
3,11,0,0,60,0,
3,12,0,0,0,0,
3,13,0,0,0,0,
3,14,0,0,0,0,
3,15,0,0,0,0,
3,16,0,0,0,0,
3,17,0,0,0,0,
3,18,0,0,0,0,
3,19,0,0,0,0,
3,20,0,0,0,15,
3,21,0,0,0,30,
3,22,0,0,0,45,
3,23,0,0,0,60,
2,10,,,,,
4,,,,,,
3,0,0,0,0,0,
3,1,0,0,0,0,
3,2,0,0,0,0,
3,3,0,0,0,0,
3,4,0,0,0,0,
3,5,0,0,0,0,
3,6,0,0,0,0,
3,7,0,0,0,0,
3,8,0,0,0,0,
3,9,0,0,15,0,
3,10,0,0,30,0,
3,11,0,0,45,0,
3,12,0,0,0,0,
3,13,0,0,0,0,
3,14,0,0,0,0,
3,15,0,0,0,0,
3,16,0,0,0,0,
3,17,0,0,0,0,
3,18,0,0,0,0,
3,19,0,0,0,0,
3,20,0,0,0,0,
3,21,0,0,0,15,
3,22,0,0,0,30,
3,23,0,0,0,45,
2,10,,,,,
4,,,,,,
3,0,0,0,0,0,
3,1,0,0,0,0,
3,2,0,0,0,0,
3,3,0,0,0,0,
3,4,0,0,0,0,
3,5,0,0,0,0,
3,6,0,0,0,0,
3,7,0,0,0,0,
3,8,0,0,0,0,
3,9,0,0,0,0,
3,10,0,0,15,0,
3,11,0,0,30,0,
3,12,0,0,0,0,
3,13,0,0,0,0,
3,14,0,0,0,0,
3,15,0,0,0,0,
3,16,0,0,0,0,
3,17,0,0,0,0,
3,18,0,0,0,0,
3,19,0,0,0,0,
3,20,0,0,0,0,
3,21,0,0,0,0,
3,22,0,0,0,15,
3,23,0,0,0,30,
2,10,,,,,
4,,,,,,
3,0,0,0,0,0,
3,1,0,0,0,0,
3,2,0,0,0,0,
3,3,0,0,0,0,
3,4,0,0,0,0,
3,5,0,0,0,0,
3,6,0,0,0,0,
3,7,0,0,0,0,
3,8,0,0,0,0,
3,9,0,0,0,0,
3,10,0,0,0,0,
3,11,0,0,15,0,
3,12,0,0,0,0,
3,13,0,0,0,0,
3,14,0,0,0,0,
3,15,0,0,0,0,
3,16,0,0,0,0,
3,17,0,0,0,0,
3,18,0,0,0,0,
3,19,0,0,0,0,
3,20,0,0,0,0,
3,21,0,0,0,0,
3,22,0,0,0,0,
3,23,0,0,0,15,
2,10,,,,,
4,,,,,,
3,0,0,0,0,15,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,30,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,45,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,60,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,75,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,90,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,105,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,120,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,135,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,150,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,165,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,180,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,195,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,210,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,225,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,240,23
2,5,,,,,
4,,,,,,
3,0,0,0,0,255,23
2,5,,,,,
4,,,,,,
